id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42932,"Charming apartment, Oslo Center, Ro",187463,Cecilie,,Frogner,59.91233609,10.72384208,Entire home/apt,1920,2,30,02/07/2018,0.47,1,363
43431,Room for recreation up town Oslo,189712,Jayce,,Frogner,59.91810642,10.70714484,Private room,474,2,48,25/10/2016,0.5,3,364
71725,Central big room - ap with balcony ,368229,Reidun,,Gamle Oslo,59.90611219,10.78000125,Private room,482,4,46,31/10/2018,0.49,1,169
77108,Friendly & spacious in uptown Oslo,412523,Gunn Hild,,Frogner,59.92477726,10.71648964,Entire home/apt,1835,7,14,13/08/2018,0.15,1,333
85902,"Stylish design apt, east. Close to train station",250159,Melissa,,Gamle Oslo,59.91264988,10.77263261,Entire home/apt,787,2,50,04/11/2018,0.55,2,35
88338,"Cozy, quiet and sunny! Adamstuen - central Oslo",483107,Julian,,St. Hanshaugen,59.93074756,10.73260977,Entire home/apt,727,5,10,18/04/2017,0.28,1,0
92103,Trendy Urban Downtown Oslo.,496205,Dorte,,Grünerløkka,59.91974917,10.75466071,Entire home/apt,1243,3,20,18/08/2013,0.22,1,323
123041,"Cozy room in design apartment, central east side",250159,Melissa,,Gamle Oslo,59.91254035,10.77408507,Private room,347,3,229,02/07/2018,2.53,2,36
149776,Bird's nest in the heart of Oslo,714768,Henrik,,St. Hanshaugen,59.92186691,10.74817424,Private room,770,4,32,26/08/2018,0.36,1,332
149960,In the very heart of Oslo,722814,Hilde,,Frogner,59.91991134,10.7319188,Private room,423,2,106,04/11/2018,1.18,2,328
163128,Very central&cosy apartment in Oslo,779118,Vibeke,,Grünerløkka,59.92810206,10.78193179,Entire home/apt,491,4,33,06/11/2016,0.37,1,0
174372,New spacious central 2BR w/terrace,114189,Christina,,Sagene,59.929784,10.75951673,Entire home/apt,13524,100,36,26/10/2014,0.4,2,364
189484,Quiet apartment w balcony in Oslo,913934,Andreas,,Sagene,59.93226952,10.75486598,Entire home/apt,913,2,1,01/07/2015,0.02,1,0
190578,Private room in Oslo (very central),920584,Christel,,Frogner,59.92124303,10.73107602,Private room,651,1,1,14/08/2018,0.3,1,354
213353,Nice Apartment Near the Center,305171,R.G.,,Gamle Oslo,59.90845195,10.77891056,Private room,694,1,175,12/11/2018,2,1,359
225855,"Cosy & modern Tjuvholmen apartment, Central OSLO",898731,Hogne,,Frogner,59.90936994,10.72178221,Entire home/apt,2453,3,9,05/09/2016,0.22,1,71
