id,host_id,host_name,room_type,price,minimum_nights
1,2738,Isa,Entire home/apt,753,5
2,27554,Tale,Entire home/apt,947,3
3,43067,Anne Guro,Entire home/apt,651,3
4,81324,Itonje,Entire home/apt,550,7
5,96481,Axel,Entire home/apt,947,2
6,99191,Ragnhild,Entire home/apt,998,7
7,99191,Ragnhild,Entire home/apt,1201,1
8,105039,Sol,Entire home/apt,1497,3
9,114189,Christina,Entire home/apt,13524,100
10,114189,Christina,Entire home/apt,1303,4
11,158690,Mia,Entire home/apt,1015,2
12,181905,Martin,Private room,448,1
13,181905,Martin,Private room,347,1
14,186751,Silje,Entire home/apt,753,2
15,187463,Cecilie,Entire home/apt,1920,2
16,188131,Marius,Entire home/apt,787,3
17,189712,Jayce,Private room,474,2
18,189712,Jayce,Private room,499,2
19,189712,Jayce,Private room,347,2
20,189862,"Keyna, Lars, Erik & Thomas",Private room,736,3
21,189862,"Keyna, Lars, Erik & Thomas",Private room,499,1
22,190236,Inge,Entire home/apt,2275,3
23,190326,Christian,Entire home/apt,533,3
24,199646,Eirik,Entire home/apt,1599,4
25,210068,Trude Rebekka,Entire home/apt,296,2
26,210068,Trude Rebekka,Entire home/apt,448,2
27,210068,Trude Rebekka,Entire home/apt,651,2
28,210068,Trude Rebekka,Entire home/apt,651,2
29,210537,Oleg,Entire home/apt,601,2
30,213531,Frï¿½ï¿½ï¿,Entire home/apt,457,2
31,214523,Ann Kristin,Entire home/apt,592,3
32,228477,Guro Anna Wyller,Entire home/apt,820,5
33,250159,Melissa,Entire home/apt,787,2
34,250159,Melissa,Private room,347,3
35,261517,Yenny,Entire home/apt,990,5
36,285744,Andreas,Entire home/apt,1599,3
37,305171,R.G.,Private room,694,1
38,368229,Reidun,Private room,482,4
39,374009,Jan,Entire home/apt,4500,1
40,374009,Jan,Private room,601,1
41,374009,Jan,Entire home/apt,9498,1
42,374009,Jan,Entire home/apt,4500,1
43,375120,Stian,Private room,482,3
44,375120,Stian,Entire home/apt,770,3
45,412523,Gunn Hild,Entire home/apt,1835,7
46,413908,Oyvind And Oksana,Entire home/apt,897,3
47,414010,Sofi,Entire home/apt,372,3
48,424729,Yngve,Entire home/apt,897,4
49,425562,Johan,Entire home/apt,846,30
50,425562,Johan,Entire home/apt,1497,2
51,427612,Mona Elisabeth,Entire home/apt,1057,2
52,428672,Karina,Entire home/apt,804,2
53,450535,Kaia,Private room,448,2
54,450535,Kaia,Entire home/apt,702,2
55,460801,Andreas,Entire home/apt,592,3
56,479141,Lisa-Mari,Entire home/apt,846,2
57,483107,Julian,Entire home/apt,727,5
58,496205,Dorte,Entire home/apt,1243,3
